Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
8,2.085511782,1.418802738,-0.700739926,-1.722458376,-0.248685326,-0.19978307,12.96334448,-4.11113211,-0.172818163,-1.136331686,-1.106290152,1.317912733
8,-45.22434649,-11.58820243,-7.703329759,-16.57732734,-0.506236158,-8.837284914,-3.868718112,76.6275921,-2.104931742,-13.18891059,-10.02318395,-16.43689494
8,-3.133789851,0.044754023,2.330822085,-0.878798002,-0.119158646,2.84386953,-0.172818163,-2.053462684,18.23001189,2.842157951,-0.567453063,2.640505025
8,-17.43626198,-1.704966691,9.588148039,-5.19433398,-0.800657596,10.55826741,-1.131560807,-12.78541698,2.825620127,54.86529695,-2.20959013,3.196278013
8,-18.85430651,-5.917053596,-0.857250544,2.501540191,-0.74157703,-3.539465227,-1.102410062,-9.988130265,-0.58072358,-2.133951029,91.72911465,1.007389008
8,-35.10964855,-8.124360818,3.777213946,6.042297289,2.181505136,2.25137157,1.223874092,-18.05068622,2.480231026,7.827887906,1.597879541,31.92400588
9,107.764506,-36.715183,-10.065754,-31.013262,-1.9487392,-7.3819966,,-19.258712,-2.4137992,-21.08374,-21.500243,-30.05989
9,-36.218946,96.8542374,-6.8901132,-26.288635,5.05438918,-4.8143993,,-18.293415,-1.9400584,-14.096216,-14.774635,-14.338604
9,-9.819154,-7.043639,39.6517528,-6.4199445,-1.2689401,3.87250263,,-9.1116201,10.8046622,6.18852133,0.10158006,7.95552617
9,-31.394906,-25.943876,-6.4849756,164.74034,-4.1749902,-5.032696,,-29.8636,-1.459279,-8.1168025,-9.4352538,-39.548304
9,-2.1195631,5.14974783,-1.2704765,-4.1668774,7.40524107,-1.0036769,,-1.6558608,-0.287629,-2.8268765,-2.0741645,2.66066767
9,-7.3154237,-4.9011435,5.20408961,-5.0498806,-1.0189563,32.9672782,,-5.2014954,-0.3662553,7.77824833,-2.9894017,6.720993
9,,,,,,,,,,,,
9,-18.80511,-18.501363,-8.8792778,-30.234911,-2.0249777,-5.8357016,,62.2140596,-1.759829,-20.103527,-14.216052,-3.206672
9,-2.3417367,-1.8992092,13.1910433,-1.4636704,-0.2835525,-0.3752996,,-2.2679996,16.8740863,-0.9962097,0.02349299,2.65108034
9,-20.701303,-14.049411,2.6473012,-9.0846526,-2.7993626,7.69595493,,-19.876647,-0.9957917,70.688321,-2.6723996,1.53871565
9,-21.27127,-14.789351,1.26776958,-9.869814,-1.3871746,-3.2875371,,-15.084391,0.04456136,-0.8880913,60.5160468,9.89258702
9,-31.639693,-16.676089,9.5555849,-43.319252,2.57551955,6.65522249,,-4.7979575,2.73323631,6.43922751,10.8206398,35.5007954
10,64.7972593,-40.097993,-10.306562,-27.059026,-2.4163517,-16.127048,-3.2542274,-14.499161,-5.7968521,-16.915954,-6.6595279,-22.017727
10,-39.977835,105.178506,-4.7284011,-15.821181,7.90644177,-12.252294,-14.397433,0.44946904,-4.239052,-5.1542432,0.17691601,-33.401455
10,-10.319457,-5.2032498,33.4569629,0.10661712,-0.2548779,1.03650355,-3.2290134,-3.8596537,7.97858159,6.17989123,4.27813472,3.172805
10,-26.101547,-15.503264,0.12481919,108.906148,-0.6330455,0.96812747,-7.9525069,-11.672181,-1.2100158,-5.4933359,-1.8307697,-2.1748755
10,-2.385888,8.75363032,-0.2437147,-0.6358221,-0.0316386,-0.5980374,-0.7332811,0.94453665,-0.1728182,-0.4944279,-0.1428571,-1.3644905
10,-16.200643,-12.368948,2.76614271,1.29071639,-0.5886001,52.5643954,-7.1012707,-2.8972932,-0.4237068,2.31335439,-1.661106,3.84211834
10,-3.4282212,-14.036601,-3.5879372,-8.1213409,-0.7514903,-7.2688533,50.672485,-9.732173,-2.0412168,-5.9477788,-1.5701487,0.27264966
10,-14.69077,0.10496971,-2.7427217,-12.097125,-0.0646016,-2.4993355,-9.2094567,27.9406389,-3.0349893,-4.3908806,2.16738692,3.47501962
10,-5.7453082,-4.2158387,8.0916125,-1.2213901,-0.169725,-0.4427742,-2.0872616,-3.0013074,34.3697642,1.51321109,1.70366662,3.84638702
10,-17.027443,-5.5885765,4.83217998,-5.4354621,-0.498303,1.10605724,-6.1991459,-4.6007306,1.59975858,71.0449184,1.62195966,-1.6649584
10,-6.5179929,-0.6319021,4.15271682,-1.8250229,-0.1464598,-1.6788167,-2.0274858,1.81602202,1.7078053,2.32411917,12.2983923,2.96534531
10,-22.57234,-34.723197,5.4362848,-2.7102482,-1.9632766,4.37448315,-0.0872883,3.55325939,5.25109188,-0.7731937,3.60171187,30.59111
11,74.49240872,-27.98060774,-15.19779439,-31.00940077,,-21.71134926,5.345659084,-8.537026093,-8.107249216,-18.8500438,,-25.97251295
11,-28.10136615,77.06844442,-9.725296416,-22.15318706,,-7.204468811,-9.669519649,3.714926529,-5.474565807,-10.05400432,,-18.92910963
11,-14.97830658,-10.548257,47.10055825,-6.632776317,,0.738026663,-5.080099507,-5.65920779,9.807487132,4.762666256,,4.145506715
